  PID  PGID   SID TTY          TIME CMD
    2     0     0 ?        00:00:00 kthreadd
    6     0     0 ?        00:00:00   mm_percpu_wq
    7     0     0 ?        00:00:00   ksoftirqd/0
    8     0     0 ?        00:00:00   rcu_sched
    9     0     0 ?        00:00:00   rcu_bh
   10     0     0 ?        00:00:00   migration/0
   11     0     0 ?        00:00:00   watchdog/0
   12     0     0 ?        00:00:00   cpuhp/0
   13     0     0 ?        00:00:00   cpuhp/1
   14     0     0 ?        00:00:00   watchdog/1
   15     0     0 ?        00:00:00   migration/1
   16     0     0 ?        00:00:00   ksoftirqd/1
   18     0     0 ?        00:00:00   kworker/1:0H
   19     0     0 ?        00:00:00   kdevtmpfs
   20     0     0 ?        00:00:00   netns
   21     0     0 ?        00:00:00   rcu_tasks_kthre
   22     0     0 ?        00:00:00   kauditd
   23     0     0 ?        00:00:00   kworker/0:1
   25     0     0 ?        00:00:00   khungtaskd
   26     0     0 ?        00:00:00   oom_reaper
   27     0     0 ?        00:00:00   writeback
   28     0     0 ?        00:00:00   kcompactd0
   29     0     0 ?        00:00:00   ksmd
   30     0     0 ?        00:00:00   khugepaged
   31     0     0 ?        00:00:00   crypto
   32     0     0 ?        00:00:00   kintegrityd
   33     0     0 ?        00:00:00   kblockd
   34     0     0 ?        00:00:05   kworker/0:2
   35     0     0 ?        00:00:00   ata_sff
   36     0     0 ?        00:00:00   md
   37     0     0 ?        00:00:00   edac-poller
   38     0     0 ?        00:00:00   devfreq_wq
   39     0     0 ?        00:00:00   watchdogd
   40     0     0 ?        00:00:00   kworker/u4:1
   41     0     0 ?        00:00:00   kswapd0
   42     0     0 ?        00:00:00   kworker/u5:0
   43     0     0 ?        00:00:00   ecryptfs-kthrea
   85     0     0 ?        00:00:00   kthrotld
   86     0     0 ?        00:00:00   acpi_thermal_pm
   93     0     0 ?        00:00:00   ipv6_addrconf
  102     0     0 ?        00:00:00   kstrp
  119     0     0 ?        00:00:00   charger_manager
  180     0     0 ?        00:00:00   scsi_eh_0
  181     0     0 ?        00:00:00   scsi_tmf_0
  182     0     0 ?        00:00:00   scsi_eh_1
  183     0     0 ?        00:00:00   scsi_tmf_1
  184     0     0 ?        00:00:00   kworker/u4:3
  186     0     0 ?        00:00:00   kworker/1:1H
  187     0     0 ?        00:00:00   ttm_swap
  302     0     0 ?        00:00:00   raid5wq
  365     0     0 ?        00:00:00   ext4-rsv-conver
  380     0     0 ?        00:00:00   kworker/u4:4
  384     0     0 ?        00:00:00   kworker/0:1H
  463     0     0 ?        00:00:00   iscsi_eh
  466     0     0 ?        00:00:00   ib-comp-wq
  467     0     0 ?        00:00:00   ib-comp-unb-wq
  468     0     0 ?        00:00:00   ib_mcast
  469     0     0 ?        00:00:00   ib_nl_sa_wq
  471     0     0 ?        00:00:00   rdma_cm
  501     0     0 ?        00:00:00   loop0
  504     0     0 ?        00:00:00   loop1
  505     0     0 ?        00:00:00   loop2
  506     0     0 ?        00:00:00   loop3
  507     0     0 ?        00:00:00   loop4
  508     0     0 ?        00:00:00   loop5
  509     0     0 ?        00:00:00   loop6
  510     0     0 ?        00:00:00   loop7
  512     0     0 ?        00:00:00   loop8
  513     0     0 ?        00:00:00   loop9
  514     0     0 ?        00:00:00   loop10
  515     0     0 ?        00:00:00   loop11
  516     0     0 ?        00:00:00   loop12
  517     0     0 ?        00:00:00   loop13
  518     0     0 ?        00:00:00   loop14
  519     0     0 ?        00:00:00   loop15
  520     0     0 ?        00:00:00   loop16
  521     0     0 ?        00:00:00   loop17
  522     0     0 ?        00:00:00   loop18
  523     0     0 ?        00:00:00   loop19
  688     0     0 ?        00:00:00   cfg80211
 1350     0     0 ?        00:00:00   kworker/0:2H
 1561     0     0 ?        00:00:00   kworker/1:3
 3289     0     0 ?        00:00:00   kworker/1:0
 3516     0     0 ?        00:00:00   kworker/0:0
 3542     0     0 ?        00:00:00   kworker/0:3
    1     1     1 ?        00:00:06 systemd
  443   443   443 ?        00:00:00   systemd-journal
  464   464   464 ?        00:00:00   lvmetad
  470   470   470 ?        00:00:09   systemd-udevd
  921   921   921 ?        00:00:00   systemd-resolve
  923   923   923 ?        00:00:00   systemd-timesyn
  959   959   959 ?        00:00:00   avahi-daemon
  964   959   959 ?        00:00:00     avahi-daemon
  960   960   960 ?        00:00:00   networkd-dispat
  961   961   961 ?        00:00:00   ModemManager
  963   963   963 ?        00:00:00   dbus-daemon
  979   979   979 ?        00:00:00   NetworkManager
  990   990   990 ?        00:00:00   acpid
  991   991   991 ?        00:00:00   systemd-logind
  997   997   997 ?        00:00:00   cron
 1000  1000  1000 ?        00:00:00   irqbalance
 1001  1001  1001 ?        00:00:00   lxcfs
 1003  1003  1003 ?        00:00:00   rsyslogd
 1011  1011  1011 ?        00:00:03   snapd
 1013  1013  1013 ?        00:00:00   atd
 1014  1014  1014 ?        00:00:00   wpa_supplicant
 1042  1042  1042 ?        00:00:00   polkitd
 1257  1257  1257 ?        00:00:00   unattended-upgr
 1532  1532  1532 ?        00:00:00   whoopsie
 1557  1557  1557 ?        00:00:00   sshd
 1558  1558  1558 ?        00:00:00   kerneloops
 1563  1563  1563 ?        00:00:00   kerneloops
 2601  2601  2601 tty1     00:00:00   login
 2802  2802  2601 tty1     00:00:00     bash
 2903  2903  2601 tty1     00:00:00       man
 2912  2903  2601 tty1     00:00:00         man
 2913  2903  2601 tty1     00:00:00         pager
 2775  2775  2775 ?        00:00:00   systemd
 2776  2775  2775 ?        00:00:00     (sd-pam)
 2928  2928  2928 tty2     00:00:00   login
 2994  2994  2928 tty2     00:00:00     bash
 3012  3012  2928 tty2     00:00:00       man
 3022  3012  2928 tty2     00:00:00         pager
 3181  3181  3181 ?        00:00:00   cupsd
 3182  3182  3182 ?        00:00:00   cups-browsed
 3358  3358  3358 tty3     00:00:00   login
 3423  3423  3358 tty3     00:00:00     bash
 3650  3650  3358 tty3     00:00:00       ps
